epa_registration_number,product_name,manufacturer,active_ingredients,formulation_type,restricted_use,product_type,is_fumigant,signal_word,rei_hours,rei_days,phi_days,max_applications_per_season,max_rate_per_application,max_rate_unit,california_registration_number,active_status_california,formulation_code,density_specific_gravity,approved_crops,groundwater_advisory,endangered_species_restrictions,buffer_zone_required,buffer_zone_feet,product_status,unit_size,cost_per_unit,label_url,sds_url,notes,active
62719-291,Warrior II with Zeon Technology,Syngenta Crop Protection,Lambda-cyhalothrin 22.8%,Emulsifiable Concentrate,false,insecticide,false,CAUTION,24,,21,6,0.16,lbs/acre,,true,EC,1.05,"Citrus, Almonds, Grapes",false,false,false,,active,2.5 gallon,245.00,,,REI: 24 hours. PHI: 21 days for citrus,true
100-1066,Lorsban Advanced,Corteva Agriscience,Chlorpyrifos 42.3%,Emulsifiable Concentrate,true,insecticide,false,WARNING,24,,14,3,2.0,lbs/acre,,true,EC,1.12,"Citrus, Tree Nuts, Vegetables",false,false,true,100,active,2.5 gallon,89.50,,,Restricted Use - Licensed applicator required,true
66222-21,Movento,Bayer CropScience,Spirotetramat 24%,Suspension Concentrate,false,insecticide,false,CAUTION,12,,7,3,10.0,fl oz/acre,,true,SC,1.08,"Citrus, Stone Fruit, Pome Fruit",false,false,false,,active,1 quart,325.00,,,Translaminar systemic. REI: 12 hours,true
100-1093,Mustang Maxx,FMC Corporation,Zeta-cypermethrin 8.3%,Emulsifiable Concentrate,false,insecticide,false,CAUTION,12,,1,6,4.0,fl oz/acre,,true,EC,0.93,"Citrus, Tree Nuts, Vegetables",false,false,false,,active,1 quart,198.00,,,Low PHI allows close-to-harvest applications,true
264-789,Admire Pro,Bayer CropScience,Imidacloprid 42.8%,Flowable Concentrate,false,insecticide,false,CAUTION,12,,0,1,32.0,fl oz/acre,,true,F,1.25,"Citrus, Stone Fruit, Cotton",true,false,false,,active,1 quart,285.00,,,Systemic. Soil/foliar application. Groundwater advisory,true
62719-527,Agri-Mek SC,Syngenta Crop Protection,Abamectin 1.85%,Suspension Concentrate,true,insecticide,false,WARNING,12,,7,2,16.0,fl oz/acre,,true,SC,1.03,"Citrus, Cotton, Tree Nuts",false,false,false,,active,1 quart,445.00,,,Restricted Use. Toxic to bees and aquatic organisms,true
228-390,Roundup PowerMAX,Bayer CropScience,Glyphosate 48.8%,Aqueous Solution,false,herbicide,false,CAUTION,4,,7,,,gal/acre,,true,AS,1.18,"Citrus groves (non-bearing), Orchards",false,false,false,,active,2.5 gallon,38.50,,,Non-selective herbicide. Keep off foliage,true
71711-18,Prowl H2O,BASF Corporation,Pendimethalin 38.7%,Aqueous Concentrate,false,herbicide,false,CAUTION,24,,60,,,gal/acre,,true,AC,1.08,"Citrus groves, Tree Nuts",false,false,false,,active,2.5 gallon,145.00,,,Pre-emergent herbicide. No crop contact,true
100-796,Rally 40WSP,Valent USA,Myclobutanil 40%,Water Soluble Packet,false,fungicide,false,CAUTION,24,,0,4,5.0,oz/acre,,true,WSP,,"Citrus, Grapes, Stone Fruit",false,false,false,,active,5 lb box,289.00,,,Systemic fungicide for various diseases,true
62719-498,Quadris Top,Syngenta Crop Protection,Azoxystrobin 18.2% + Difenoconazole 11.4%,Suspension Concentrate,false,fungicide,false,WARNING,12,,0,4,14.0,fl oz/acre,,true,SC,1.21,"Citrus, Grapes, Tree Nuts",false,false,false,,active,2.5 gallon,425.00,,,Broad spectrum - multiple disease control,true
7969-58,Aliette WDG,Bayer CropScience,Fosetyl-al 80%,Water Dispersible Granule,false,fungicide,false,CAUTION,12,,0,8,5.0,lbs/acre,,true,WDG,,"Citrus, Avocados",false,false,false,,active,5 lb box,165.00,,,Systemic - Phytophthora control,true
59639-96,Kocide 3000,DuPont,Copper hydroxide 46.1%,Dry Flowable,false,fungicide,false,CAUTION,24,,0,10,1.75,lbs/acre,,true,DF,,"Citrus, Stone Fruit, Vegetables",false,false,false,,active,20 lb bag,95.00,,,Fixed copper fungicide/bactericide,true
432-1363,ProGibb 40% SG,Valent BioSciences,Gibberellic Acid 40%,Soluble Granule,false,plant_growth_regulator,false,CAUTION,4,,0,3,2.0,oz/acre,,true,SG,,"Citrus, Grapes",false,false,false,,active,1 lb,895.00,,,PGR - Improves fruit size and quality,true
66222-164,Actinovate AG,Novozymes BioAg,Streptomyces lydicus,Wettable Powder,false,fungicide,false,CAUTION,4,,0,,,oz/acre,,true,WP,,"Citrus, Vegetables, Grapes",false,false,false,,active,18 oz,285.00,,,Biological fungicide - OMRI listed,true
352-652,Surround WP,Tessenderlo Kerley,Kaolin 95%,Wettable Powder,false,insecticide,false,CAUTION,4,,0,,,lbs/acre,,true,WP,,"Citrus, Pome Fruit, Stone Fruit",false,false,false,,active,25 lb bag,68.00,,,Particle film - OMRI listed,true
67760-31,Stylet-Oil,JMS Flower Farms,Paraffinic Oil 97%,Emulsifiable Concentrate,false,insecticide,false,CAUTION,4,,0,,,gal/acre,,true,EC,0.85,"Citrus, Grapes, Vegetables",false,false,false,,active,2.5 gallon,42.00,,,Horticultural oil - OMRI listed,true
66222-14,Ridomil Gold SL,Syngenta Crop Protection,Mefenoxam 48%,Aqueous Solution,true,fungicide,false,CAUTION,48,,14,4,1.0,pt/acre,,true,AS,1.15,"Citrus, Avocados",true,false,false,,active,2.5 gallon,385.00,,,Restricted Use. Systemic - Phytophthora,true
